,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
ANCOL,129872,118803,124340,116091,132787,133288,147142,143108,140075,155128,140665,144058,135446.41666666666,155128,4514.8805555555555,677.2320833333333
PADEMANGAN,20276,19787,23197,23115,23836,23704,25900,24784,23462,24347,23491,26489,23532.333333333332,26489,784.411111111111,117.66166666666665
GUNUNG SAHARI,61262,56271,60982,56487,65560,65030,71634,68807,68194,74941,66754,68466,65365.666666666664,74941,2178.8555555555554,326.8283333333333
JEMBATAN MERAH,27322,24026,24878,22413,26717,24880,30074,31829,30099,33370,31272,30645,28127.083333333332,33370,937.5694444444445,140.63541666666666
PS.BARU TIMUR,28456,25969,26775,28284,29470,29482,33453,31778,31173,33793,34522,35628,30731.916666666668,35628,1024.3972222222224,153.65958333333336
LAPANGAN BANTENG,24000,21159,22521,20017,24697,24735,27766,26425,26085,30151,27003,26501,25088.333333333332,30151,836.2777777777777,125.44166666666665
SENEN SENTRAL,41106,34414,38394,33949,40459,38471,44584,44252,44659,53034,48556,43334,42101.0,53034,1403.3666666666666,210.50499999999997
PAL PUTIH,70794,63448,68058,59358,71643,69653,80397,77946,76948,83177,76326,74487,72686.25,83177,2422.875,363.43125
KRAMAT SENTIONG,46803,42899,44531,39368,46364,44565,52104,51945,50628,55214,51505,51185,48092.583333333336,55214,1603.0861111111112,240.46291666666667
SALEMBA,43764,37525,43609,39895,46089,46072,46557,45200,46089,56036,50284,47650,45730.833333333336,56036,1524.361111111111,228.65416666666667
PASEBAN,105098,102284,112513,113030,118988,123917,132866,130418,126120,134144,125312,141475,122180.41666666667,141475,4072.6805555555557,610.9020833333333
MATRAMAN,29017,24817,22824,20374,25055,22412,30405,30910,29701,34972,29292,26387,27180.5,34972,906.0166666666667,135.9025
TEGALAN,26457,23114,24172,20361,24596,24693,28665,27962,27013,31240,27325,26584,26015.166666666668,31240,867.1722222222222,130.07583333333332
KESATRIAN,38382,35063,37113,32543,38773,37824,42368,42240,39239,42834,41199,39447,38918.75,42834,1297.2916666666667,194.59375
MATRAMAN BARU,66256,59963,64501,58143,68045,67338,73949,73200,71635,76767,72046,74278,68843.41666666667,76767,2294.7805555555556,344.21708333333333
BALI MESTER,27521,26218,25669,22346,26538,26989,30196,30474,28943,31560,29023,29868,27945.416666666668,31560,931.5138888888889,139.72708333333333
KAMPUNG MELAYU,33431,28906,24349,42806,40351,43366,39929,33011,34815,32822,29461,36765,35001.0,43366,1166.7,175.005
