,Avg_Monthly,Daily_Avg,Peak_Hour
GELORA BUNG KARNO,193198.25,6439.941666666667,965.9912499999999
BUNDARAN HI ASTRA,183935.08333333334,6131.169444444445,919.6754166666667
BLOK M,126157.83333333333,4205.261111111111,630.7891666666666
KARET,125628.33333333333,4187.611111111111,628.1416666666667
BUNDARAN SENAYAN,125212.16666666667,4173.738888888889,626.0608333333333
MH THAMRIN,113112.5,3770.4166666666665,565.5625
KOTA,100301.66666666667,3343.388888888889,501.5083333333333
TELUK BETUNG,92561.5,3085.383333333333,462.80749999999995
MONUMEN NASIONAL,82265.16666666667,2742.1722222222224,411.3258333333334
GLODOK,78935.0,2631.1666666666665,394.67499999999995
