,Avg_Monthly,Daily_Avg,Peak_Hour
KALIDERES,183713.75,6123.791666666667,918.56875
JELAMBAR,117957.75,3931.925,589.78875
ROXY,84684.75,2822.825,423.42375
RAWA BUAYA,80059.5,2668.65,400.2975
GROGOL,59187.0,1972.9,295.935
TAMAN KOTA,57705.25,1923.5083333333334,288.52625
SUMUR BOR,55945.25,1864.8416666666667,279.72625
JEMBATAN BARU,50444.666666666664,1681.4888888888888,252.2233333333333
PASAR BARU,47904.416666666664,1596.8138888888889,239.5220833333333
JEMBATAN GANTUNG,44338.416666666664,1477.947222222222,221.6920833333333
