,Avg_Monthly,Daily_Avg,Peak_Hour
RAGUNAN,168836.41666666666,5627.8805555555555,844.1820833333333
RASUNA SAID,85102.58333333333,2836.7527777777777,425.5129166666666
KUNINGAN,76823.58333333333,2560.786111111111,384.11791666666664
MAMPANG PRAPATAN,63596.25,2119.875,317.98125
DUREN TIGA,56980.0,1899.3333333333333,284.9
PATRA KUNINGAN,49446.166666666664,1648.2055555555555,247.23083333333332
KARET KUNINGAN,46448.666666666664,1548.2888888888888,232.2433333333333
JATI BARAT,39856.833333333336,1328.5611111111111,199.28416666666666
SETIABUDI,39366.0,1312.2,196.83
KUNINGAN MADYA,39203.0,1306.7666666666667,196.015
