,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER,Avg_Monthly,Peak_Month,Daily_Avg,Peak_Hour
PULO GEBANG,22874,20688,21075,23672,21781,22099,23649,21733,22162,23485,21528,23818,22380.333333333332,23818,746.0111111111111,111.90166666666666
WALIKOTA JAKARTA TIMUR,39091,35120,36254,33776,36250,34006,37816,35383,35564,39010,36708,36169,36262.25,39091,1208.7416666666666,181.31124999999997
PENGGILINGAN,12717,11469,11519,10868,11950,11550,12810,12852,12714,14417,13173,13272,12442.583333333334,14417,414.7527777777778,62.212916666666665
FLYOVER PONDOK KOPI,31003,28080,28564,28017,30103,28844,32568,30584,30234,33576,30293,30502,30197.333333333332,33576,1006.5777777777778,150.98666666666665
SIMPANG BUARAN,22799,21141,21710,20309,23289,22866,26013,24764,24095,26722,24324,24346,23531.5,26722,784.3833333333333,117.6575
BUARAN,4396,3822,3940,3492,4022,3908,4337,4199,6342,11792,10554,11749,6046.083333333333,11792,201.5361111111111,30.230416666666663
KAMPUNG SUMUR,8052,7482,7662,7055,7882,8057,9035,8908,8682,9230,8460,8793,8274.833333333334,9230,275.8277777777778,41.37416666666667
KLENDER,10892,10299,10153,9683,8905,8456,10533,10269,9878,11287,10108,10734,10099.75,11287,336.65833333333336,50.49875
STASIUN KLENDER,11948,11246,11713,10706,12150,11985,14344,13666,12959,14370,13125,13648,12655.0,14370,421.8333333333333,63.27499999999999
CIPINANG,7203,6733,6913,6650,7520,7457,8357,8198,8008,8896,8468,8379,7731.833333333333,8896,257.72777777777776,38.659166666666664
FLYOVER CIPINANG,9928,8766,8273,7603,8767,8863,11229,11404,10222,10925,10082,9798,9655.0,11404,321.8333333333333,48.275
PASAR ENJO,3552,3119,3139,2830,3484,3295,3446,3459,3367,3600,3294,3449,3336.1666666666665,3600,111.20555555555555,16.680833333333332
FLYOVER JATINEGARA,31323,28545,29137,24700,29909,28564,32895,33309,33426,36831,33674,33145,31288.166666666668,36831,1042.9388888888889,156.44083333333333
STASIUN JATINEGARA,28452,25831,28338,26592,28601,29473,32231,31669,31378,34461,32602,34286,30326.166666666668,34461,1010.8722222222223,151.63083333333333
JATINEGARA,12129,10691,12044,10639,12143,11895,14362,13523,12605,13670,12851,13648,12516.666666666666,14362,417.22222222222223,62.58333333333333
