,Avg_Monthly,Daily_Avg,Peak_Hour
PINANG RANTI,172675.58333333334,5755.852777777778,863.3779166666667
PERTAMBURAN,142750.91666666666,4758.363888888888,713.7545833333332
CIKOKO ARAH P.RANTI,120859.75,4028.6583333333333,604.2987499999999
PENJARINGAN,98490.25,3283.008333333333,492.45124999999996
CIKOKO ARAH PLUIT,82375.66666666667,2745.855555555556,411.8783333333334
MAKASAR,70170.58333333333,2339.019444444444,350.8529166666666
DENPASAR ARAH PLUIT,62252.75,2075.0916666666667,311.26375
PLUIT,62150.083333333336,2071.6694444444447,310.7504166666667
"KEMANGGISAN ARAH 
PLUIT",60350.166666666664,2011.6722222222222,301.75083333333333
PANCORAN ARAH P.RANTI,58294.083333333336,1943.1361111111112,291.47041666666667
